product_name,article_no
Beefs 24pcs,BT012
Nyama Nyama Chilli (22pcs),BT008
"CHOICE -Catering Sausage (Beef, 1KG)",SKY058
Griller Pack,BT003
Boneless Chuck Roll,SO116
Betar - Nyama Nyama 22 PCS,BT006
RR - Poultry Viennas (700g),RT157
"CHOICE -Catering Sausage (Pork, 1KG)",SKY059
Betar - Nyama Nyama (20pcs),BT006
[FC] Freight Charges,OMIT
RR - Poultry Viennas 350g,RT156
[S] POULTRY VIENNAS 700g,RT157
Meat Balls,WS125
Betar - Nyama Nyama (10pcs),BT007
Whole Goat Carcass,WS
RR - Beef Hotdog (1Kg),RT148
RR - Beef Hotdog 500g,RT149
Nyama Nyama Chilli (20pcs),BT008
[S] Poultry Viennas 350g,RT156
Jumbo Balls 1kg,
Whole Pork Carcass,
Nyama Nyama Chilli (10pcs),BT009
Saucisson de Paris kg,SO955
[S] RR - Hotdog Beef 1Kg,RT148
(S) RR - Hotdog Beef 500g,RT149
Saucisson de Jambon kg,SO963
Beefs 12pcs,BT011
"Chipolatas (Beef, 1KG)",WS825
RR- Hotdog Pork (500g),RT149
[M] Poultry Viennas 700g,RT157
"Chipolatas (Pork, 1KG)",WS826
[L] RR - Hotdog Beef 1Kg,RT148
Pork Steak (1KG),
"Chipolatas (Chicken, 1KG)",WS827
[S] RR - Hotdog Pork 1Kg,RT150
RR - Hotdog Pork (1Kg),RT150
Catering-Beef Boerwors Kg,WS818
[M]  HOTDOG BEEF 500g,RT149
[M] POULTRY VIENNAS 350g,RT156
"CHOICE -Catering Sausage (Chicken, 1KG)",WS205
RR-Beef Boerwors 500g,RT119
Betar Chrismas Offer,OMIT
Kebab,WS124
Pork Steak (4PCS),RT604
[S] RR - Hotdog Pork 500g,
Fully Trimmed Topside kg,SO115
[L] KEBAB Kg,WS124
RF- Goat Sausage 400g,RT140
Fresh Bone Marrows,
BBQ Marinated Festive Grill (Halaal),
[S] Russian Sausage 500g,RT127
Chilled - Beef Hotdog 350G,
Nile Perch Whole,
Chilled - Pork Hotdog 350G,
Beef Fat,
Catering - Beef Chipolatta [KG],WS825
Boundin Blanc 3Pcs,
[S] Fillet Mignon Steaks (kg),
Lamb Neck,
Pork Ears,WS218
BBQ Marinated Festive Grill (Non Halaal),
Trimmed Beef Special Kg,
Table Eggs -15/Pack,
"Chipolatas (Beef, 720G)",
Bouding Blanc - kg,
Beef Briskets,
Chateauneuf  Du Pape  Chemin De Papes Red 750ml,OMIT
Goat Loin kg,
"Chipolatas (Chicken, 720G)",
Nile Perch Fillet Kg,
Jugdwurst or Jachtworst,
Nyama Nyama Pack,BT008
Merguez Sausage,SO970
RF- Easter Hamper,OMIT
Feta Greco 200g,OMIT
Krainer Sausage Kg,
[L] Russian Sausage (500g),
Betar Easter Hamper,
Mushroom Sausages,
Anthonij Rupert Optima 750ml,OMIT
Lamb Shoulder,
[L] HOTDOG PORK KG,
Chilled - Pepperoni 200G,
Kiosk Beef Samosa,
Salted Butter 250g,
Mucho Mas Tinto Black Edition 750ML,
Domaine Sainte Cecile Cabernet Sauvignon 750ml,
Prime Silver Side,
Boundin Blanc kg,
Goude Sneetjes Vergeer 175g,
Kiosk Chapati,
[M] HOTDOG PORK 500G,
Tinned /Corned Beef 200g,
Masi Veneto Classico Masianco 750ml,
ISFI Brochettes Spice 750g,
Betar Chrismas Hamper KG,
Prime Beef Briskets - Poitrine,
Flandrien Jong Sneetje 150g,
"Chipolatas (Pork, 720G)",
Beef offcuts,
770 Miles Cabernet Sauvignon Red 6X750ml,
[S] RF- GOAT SAUSAGE 400G,
KWV Black Rooderberg 750ml,
Domaine Sainte Chardonnay 750ml,
Exhib Rose 750ml,
Garlic Sausages,
Villa Sandi Prosecco Ex Dry White 740ml,
Signore Giuseppe Prosecco EX Dry White 750ml,
Aruma  Malbec Red 750ml,
Kia Ora Sauvignon Blanc 750ml,
Mucho Mas Blanco750ml,
Pork Piglet Kg,
Betar - school Pack,
Danish Polser Sausages,
Burger buns,
PORK FAT,
Sweet White Bread kg,
Table Eggs -6/Pack,
Belgium Dry Sausage,
Flandrien Oud 150GR,
Bellingham Homestead Shiraz 750ml,
Nero Marone Primitivo 750ml,
Jerrycans,
BACKSBERG Merlot 750ml,
Calvet Cramont De Bordeaux Brut Rose 750ml,
BONI Black Pepper Spice 200g,
Calvet Cremant De Bordeaux Brut White 750ml,
Bugget bread small,
Bugget Bread big,
Rooiberg Pinotage 750ml,
Baron D' Arignac Sweet White 750ml,
BONI Pili Pili Spice -40g,
Hotdog Buns,
Calvet Reserve Bordeaux  Merlot Cabernet Sauvignon 750ml,
BONI Rosemary Spice - 20g,
Domaine Sainte Cecile Sauvignon Blanc 750ml,
BONI Garlic Powder - 60g,
Baron D' Arignac Sweet Red 750ml,
Easter Family Essential,
Calvet Aitos Merlot Red 750ml,
BACKSBERG Cab Sauvignon 750ml,
Brodeux  Baron Rothschild Legende Red 750ml,
Easter Bounty Basket,
Wooded Plate,
Lamb Fat,
BONI Paprika - 50g,
Pork Trotters /Hooves,
Landana Walnoot 200G,
770 Miles Chardonnay 750ml,
Betar -Mother's Day Hamper,
Small - Whole Turkey,
Cassava  Starch,
BONI Kerrie Curry Powder 450g,
Pork Shanks kg,
Bellingham Homestead Sauvignon Blanc 750ml,
BOURSIN CUISINE 230GR LOOK,
EVERYDAY Ground Nutmeg 105g,
Provetto  Sparkling White 750ml,
Masi Valpolicella Classico Bonacosta 750ml,
Brodeux  Baron Rothschild Legende White 750ml,
Landana Masterd 150g,
BONI BIO White Pepper -50g,
B0NI Spice Cayenne Pepper - 40g,
CAMENBERT ISIGNY 150G,
Masi Soave Classico Levarie 750ml,
Lavierge Original Sin Sauvignon Blanc 750ml,
Black Coffee,
Nobile Rosso Cioccolata 750ml,
Nobile Bianco Vaniglia 750ml,
BONI Basil Spice - 18g,
BONI Thyme - 20g,
None,
RF- Mother's Day Hamper,
Protea Sauvignon Blanc 750ml,
Meat Balls in Tomato sauce 750ml,
Bolognese Sauce 750ml,
BONI Spices Curry - 40g,
Nobile Rosso Cherry 750ml,
Bellingham Homestead Chardonnay 750ml,
SINGLE ESPRESSO,
Le chateau Sauvignon medium White 750ml,
Catering - Goat Stirfry kg,
OUD Brugge Snee 165g,
SINGLE CAPPUCCINO /LATTE,
BONI BIO Spices  Provencial -15g,
Nobile Rosso Espresso 750ml,
Pork Knuckle  kg,
Turkey Pieces,
Protea Chardonnay 750ml,
Protea Merlot 750ml,
Stuffed Turkey,
DUCROS Cloves  - 23g,
Marbled Cake Bread kg,
Americano,
BONI Spices Oregano 12g,
BONI BIO Oregano Spice - 11g,
Mozzarella Zanetti Buffel 125g,
Pierre Marcel Sweet Red 750ml,
Cocktail Beef Samosas,
Pierre Marcel Sweet White 750ml,
Brown Salted Bread kg,
Pepper Sauce 750gms,
BONI Paprika Spice 550g,
BONI Dill Spice -12g,
Budget Fillet Mignon Steak +/-250gr,
CHAVROUX BUCHE 150G,
[L] RR - Hotdog Pork 1Kg,
One wine and 2 Steaks,
Landana Chilli Sambal 200g,
Bellingham Homestead Chenin Blanc 750ml,
Ketchup,
BONI Cinnamon Powder 40g,
CROISSANT,
Beef Pie,
Prime Fillet Mignon Steaks   +/-200 Gr Piece,
Sweet Farmers Bread 500g,
Beef Samosas,
BONI Ginger Powder -35g,
Flake Zalt Box - 250g,
Catering-Beef Hotdog 1Kg,
Cheza Shaker Tube -70g,
Halisi Shaker Tube - 100g,
Beef Silverside,
BONI Fish Spice - 40g,
Boneless Ham with skin,
Pili Pili Manga Shaker Tube -50g,
Protea Cabernet Sauvignon 750ml,
Tikisa Shaker Tube -70g,
Mayonnaise,
BONI Spices Tarragon - 8g,
African Coffee,
[M] Russian Sausage 500g,
Choma Grinder - 50g,
Sodium Nitrate,
BONI Herb chives - 8g,
Iced Cappuccino /Late,
Kali Grinder - 50g,
Lamb Knuckles kg,
Roquefort Sneetjes 100g,
Chateau Grand Plantey Bordeaux 750ml,
Iced Coffee,
White Salted Bread Kg,
Boneless Beef Shanks,
Marinated BBQ Wings,
FRESH MILK,
Halisi Pouch -125g,
Scoone,
Moto Moto Pouch -100g,
Saint Albray Cremaux 200G,
BONI Spice Cayenne Pepper -45g,
Mustard,
African Tea,
BRIE COEUR LYON 125G,
BONI Marjolein,
Kichaa Shaker Tube -70g,
Brown Salted Bread 500g,
DOUBLE CAPPUCINO /LATTE,
Smoked Bone Marrows,
DOUBLE ESPRESSO,
DAWA TEA,
COOKIES,
Pili Pili Manga Grinder -30g,
Kila Siku Fling Jar -90g,
BONI Tumeric - 50g,
Chapatti,
Saucission kg,
Saucission ilail  Kg,
Kiosk Rolex,
White Salted Bread 500g,
BONI BIO Persil -8g,
BONI Garlic Powder -65g,
Chips,
Betar Grillers (12Pcs) Cooked,
RF- Beef sausage Samples (4pcs),
RF-Pork sausage Samples (4pcs),
Goat Rack,
Mitmita Halaal (Hot) 250g,
Berbere Halaal 250g (Low Flavour),
Berbere Halaal 250g (High Flavour),
Budget fillet mignon Samples,
2000 USh per order on specific products,OMIT
2700 USh per order on specific products  (2),OMIT
2700 USh per order on specific products,OMIT
1000 USh per order on specific products,OMIT
1400 USh per order on specific products,OMIT
1000 USh per order on specific products Discount,OMIT
2100 USh per order on specific products,OMIT
Discount,OMIT
